No.,City,Gender,Age,Smoking Years,Pack/Day,$/Pack
1,Shanghai,1,28,7,0.5,30
2,Nanjing,1,22,5,3,75
3,Nanjing,1,23,6,0.1,17
4,Xi'an,1,29,10,3,27
5,Shenzhen,1,22,5,2,35
6,Nanjing,1,22,0.5,0.2,19
7,Chengdu,1,22,4,2,23
8,Torono,1,20,0,0,0
9,Zhengzhou,1,25,10,7,23
10,Hangzhou,1,28,16,0.3,17
11,Wenzhou,1,26,6,1,25
12,Shenyang,1,19,20,1,10
13,Sanya,1,20,10,2,20
14,Nanjing,1,12,20,2,25
15,Deyang,1,21,8,0.5,55
16,Weinan,1,25,6,0.5,25
17,Hangzhou,1,23,3,0.75,25
24,Weifang,1,29,2,1,23
25,Taiyuan,1,28,11,1,27
18,Hangzhou,2,22,0,0,0
19,Daqing,2,18,5,1,23
20,Hangzhou,2,22,10,0.5,20
21,Hefei,2,26,10,2,15
22,Foshan,2,24,11,1,20
23,Nanjing,2,46,17,0.1,45
26,Nanjing,2,27,3,0.6,19
